turn_oid,old_edge_1,old_edge_2,rightful_new_edge_1,rightful_new_edge_2,category
387,14811,14812,4644,4643,LIKELY_BUG
390,14813,15747,,,UNRESOLVED
389,15747,14813,,,UNRESOLVED
393,14637,14800,,,UNRESOLVED
392,14800,14637,,,UNRESOLVED
402,14555,16006,,,UNRESOLVED
401,16006,14555,,,UNRESOLVED
404,15641,15642,,,UNRESOLVED
403,15642,15641,,,UNRESOLVED
418,14895,14899,,,UNRESOLVED
417,14899,14895,,,UNRESOLVED
432,15437,15221,,,UNRESOLVED
431,15221,15437,,,UNRESOLVED
434,15445,15322,,,UNRESOLVED
433,15322,15445,,,UNRESOLVED
436,15443,15444,,,UNRESOLVED
435,15444,15443,,,UNRESOLVED
438,15438,15439,,,UNRESOLVED
437,15439,15438,,,UNRESOLVED
440,15440,15441,,,UNRESOLVED
439,15441,15440,,,UNRESOLVED
442,15151,15442,,,UNRESOLVED
441,15442,15151,,,UNRESOLVED
444,15436,15435,,,UNRESOLVED
443,15435,15436,,,UNRESOLVED
446,15433,15434,,,UNRESOLVED
445,15434,15433,,,UNRESOLVED
452,15908,14244,,,UNRESOLVED
451,14244,15908,,,UNRESOLVED
457,14748,14749,,,UNRESOLVED
456,14749,14748,,,UNRESOLVED
464,16183,15129,,,UNRESOLVED
463,15129,16183,,,UNRESOLVED
466,14744,14750,,,UNRESOLVED
465,14750,14744,,,UNRESOLVED
467,14705,15971,,,UNRESOLVED
183,15971,14705,,,UNRESOLVED
472,15187,14661,,,UNRESOLVED
470,14661,15187,,,UNRESOLVED
474,16190,15188,,,UNRESOLVED
473,15188,16190,,,UNRESOLVED
476,14659,14660,,,UNRESOLVED
475,14660,14659,,,UNRESOLVED
478,14846,14845,,,UNRESOLVED
477,14845,14846,,,UNRESOLVED
480,15027,16276,,,UNRESOLVED
479,16276,15027,,,UNRESOLVED
485,16016,14654,,,UNRESOLVED
484,14654,16016,,,UNRESOLVED
488,15633,15995,,,UNRESOLVED
487,15995,15633,,,UNRESOLVED
490,15537,15536,,,UNRESOLVED
489,15536,15537,,,UNRESOLVED
492,15582,16044,,,UNRESOLVED
491,16044,15582,,,UNRESOLVED
495,16136,14978,,,UNRESOLVED
493,14978,16136,,,UNRESOLVED
497,14883,14347,,,UNRESOLVED
23,14347,14883,,,UNRESOLVED
501,15783,15566,,,UNRESOLVED
295,15566,15783,,,UNRESOLVED
502,14839,15782,,,UNRESOLVED
296,15782,14839,,,UNRESOLVED
503,14836,15780,,,UNRESOLVED
301,15780,14836,,,UNRESOLVED
505,14724,15061,,,UNRESOLVED
242,15061,14724,,,UNRESOLVED
507,15063,15067,,,UNRESOLVED
506,15067,15063,,,UNRESOLVED
509,15227,14726,,,UNRESOLVED
508,14726,15227,,,UNRESOLVED
511,14431,15066,,,UNRESOLVED
510,15066,14431,,,UNRESOLVED
513,15228,15065,,,UNRESOLVED
512,15065,15228,,,UNRESOLVED
515,14725,15064,,,UNRESOLVED
514,15064,14725,,,UNRESOLVED
518,14719,14720,,,UNRESOLVED
498,14720,14719,,,UNRESOLVED
528,14735,15039,,,UNRESOLVED
527,15039,14735,,,UNRESOLVED
530,14736,16174,,,UNRESOLVED
529,16174,14736,,,UNRESOLVED
532,14737,16173,,,UNRESOLVED
531,16173,14737,,,UNRESOLVED
534,14738,16172,,,UNRESOLVED
533,16172,14738,,,UNRESOLVED
536,15119,15038,,,UNRESOLVED
535,15038,15119,,,UNRESOLVED
538,14739,16171,,,UNRESOLVED
537,16171,14739,,,UNRESOLVED
540,15120,15037,,,UNRESOLVED
539,15037,15120,,,UNRESOLVED
544,16176,15123,,,UNRESOLVED
543,15123,16176,,,UNRESOLVED
546,16177,14743,,,UNRESOLVED
545,14743,16177,,,UNRESOLVED
564,15626,14856,4745,4741,LIKELY_BUG
563,14856,15626,4741,4745,LIKELY_BUG
565,15627,15391,,,UNRESOLVED
562,15391,15627,,,UNRESOLVED
601,14688,15297,,,UNRESOLVED
559,15297,14688,,,UNRESOLVED
604,16349,16350,,,UNRESOLVED
603,16350,16349,,,UNRESOLVED
606,16353,16352,,,UNRESOLVED
605,16352,16353,,,UNRESOLVED
615,15042,14742,,,UNRESOLVED
547,14742,15042,,,UNRESOLVED
617,42959,16178,,,UNRESOLVED
616,16178,42959,,,UNRESOLVED
644,16025,16024,,,UNRESOLVED
30,16024,16025,,,UNRESOLVED
645,15475,15896,,,UNRESOLVED
643,15896,15475,,,UNRESOLVED
710,1108,16298,,,UNRESOLVED
709,16298,1108,,,UNRESOLVED
781,32719,31181,,,UNRESOLVED
775,31181,32719,,,UNRESOLVED
783,16356,16355,,,UNRESOLVED
782,16355,16356,,,UNRESOLVED
785,16358,16359,,,UNRESOLVED
784,16359,16358,,,UNRESOLVED
813,1900,16312,,,UNRESOLVED
812,16312,1900,,,UNRESOLVED
833,14912,15253,,,UNRESOLVED
832,15253,14912,,,UNRESOLVED
835,16075,15364,,,UNRESOLVED
834,15364,16075,,,UNRESOLVED
839,15505,15363,,,UNRESOLVED
838,15363,15505,,,UNRESOLVED
866,16074,15361,,,UNRESOLVED
865,15361,16074,,,UNRESOLVED
889,15252,15251,,,UNRESOLVED
888,15251,15252,,,UNRESOLVED
926,15423,15448,,,UNRESOLVED
925,15448,15423,,,UNRESOLVED
929,14512,15420,,,UNRESOLVED
928,15420,14512,,,UNRESOLVED
958,55477,55476,,,UNRESOLVED
957,55476,55477,,,UNRESOLVED
964,5648,16311,,,UNRESOLVED
963,16311,5648,,,UNRESOLVED
985,5013,63157,15167,1370,LIKELY_BUG
984,63157,5013,1370,15167,LIKELY_BUG
990,75332,75333,,,UNRESOLVED
989,75333,75332,,,UNRESOLVED
1052,60277,6243,,,UNRESOLVED
1051,6243,60277,,,UNRESOLVED
1074,14994,15079,,,UNRESOLVED
1073,15079,14994,,,UNRESOLVED
1079,15999,16000,,,UNRESOLVED
1078,16000,15999,,,UNRESOLVED
1083,16920,16921,,,UNRESOLVED
1082,16921,16920,,,UNRESOLVED
1097,63478,63479,,,UNRESOLVED
1096,63479,63478,,,UNRESOLVED
1117,7917,16295,,,UNRESOLVED
1116,16295,7917,,,UNRESOLVED
1154,6969,16297,,,UNRESOLVED
1153,16297,6969,,,UNRESOLVED
1160,17307,8506,2058,12151,LIKELY_BUG
1159,8506,17307,12151,2058,LIKELY_BUG
1187,15587,16277,,,UNRESOLVED
224,16277,15587,,,UNRESOLVED
35,14679,15244,,,UNRESOLVED
36,15819,15820,,,UNRESOLVED
37,15820,15819,,,UNRESOLVED
49,15836,14888,,,UNRESOLVED
66,14339,15296,,,UNRESOLVED
243,15072,14386,,,UNRESOLVED
320,15576,14849,,,UNRESOLVED
333,16289,16294,,,UNRESOLVED
344,14949,14970,,,UNRESOLVED
345,15870,14448,,,UNRESOLVED
346,15812,14968,,,UNRESOLVED
347,14967,15289,,,UNRESOLVED
348,14948,14966,,,UNRESOLVED
350,14962,15809,4542,4579,LIKELY_BUG
351,14964,15811,,,UNRESOLVED
352,14493,14965,,,UNRESOLVED
359,14491,14962,10569,4542,LIKELY_BUG
360,15867,16138,,,UNRESOLVED
642,75989,75992,,,UNRESOLVED
701,53875,53874,,,UNRESOLVED
724,15588,16053,,,UNRESOLVED
726,42321,42320,,,UNRESOLVED
727,42320,42321,,,UNRESOLVED
773,15273,15271,4263,4263,BENIGN_MERGE
774,15939,15274,,4260,UNRESOLVED
855,3015,14988,,,UNRESOLVED
856,14988,7805,,,UNRESOLVED
857,14987,14985,,,UNRESOLVED
858,3943,14987,4462,,UNRESOLVED
863,16304,4989,,,UNRESOLVED
868,15362,6030,4210,4211,LIKELY_BUG
869,5383,45379,,,UNRESOLVED
870,13525,45519,,8861,UNRESOLVED
896,1215,14914,,,UNRESOLVED
897,14915,1221,,4328,UNRESOLVED
898,13797,15254,,,UNRESOLVED
899,14913,3627,4323,4327,LIKELY_BUG
1177,16290,5927,,,UNRESOLVED
1178,5927,16290,,,UNRESOLVED
1208,1124,14670,,,UNRESOLVED
